"...1";"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"info";"Brondata";"Verklaring"
"1";"<ALL>";"<ALL>";"h=1,3+P1+P2*ln(d)";"global";-4,9005584;6,5203689;0,909;2,067;321;"Coolhem Q";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten"
"2";"<ALL>";"39";"h=1,3+P1+P2*ln(d)";"global";-1,089271;4,8823522;0,694;1,394;34;"Coolhem Q";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"3";"<ALL>";"51";"h=1,3+P1+P2*ln(d)";"global";-4,2902353;6,9323666;0,238;2,251;11;"Coolhem Q";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"4";"<ALL>";"57";"h=1,3+P1+P2*ln(d)";"global";-16,868007;11,289203;0,831;1,39;4;"Coolhem Q";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"5";"<ALL>";"77";"h=1,3+P1+P2*ln(d)";"global";-6,2402851;6,0486487;0,355;2,566;7;"Coolhem Q";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"6";"<ALL>";"86";"h=1,3+P1+P2*ln(d)";"global";-2,5405617;6,0715434;0,815;1,587;66;"Coolhem Q";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"7";"<ALL>";"87";"h=1,3+P1+P2*ln(d)";"global";-6,4872734;6,8881716;0,84;1,778;123;"Coolhem Q";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"8";"<ALL>";"89";"h=1,3+P1+P2*ln(d)";"global";-4,1850589;5,8817998;0,667;2,134;61;"Coolhem Q";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"9";"171201";"13";"h=1,3+P1+P2*ln(d)";"adjusted global";-7,5821562;6,5203689;NA;NA;2;"Coolhem Q";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"10";"171201";"31";"h=1,3+P1+P2*ln(d)";"adjusted global";-4,9005584;6,5203689;NA;NA;0;"Coolhem Q";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"11";"171201";"4";"h=1,3+P1+P2*ln(d)";"adjusted global";-4,059287;6,5203689;NA;NA;3;"Coolhem Q";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"12";"171201";"41";"h=1,3+P1+P2*ln(d)";"adjusted global";-9,2704969;6,5203689;NA;NA;1;"Coolhem Q";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"13";"171201";"63";"h=1,3+P1+P2*ln(d)";"adjusted global";-8,5570409;6,5203689;NA;NA;5;"Coolhem Q";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"14";"171201";"64";"h=1,3+P1+P2*ln(d)";"adjusted global";-4,7941289;6,5203689;NA;NA;1;"Coolhem Q";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"15";"171201";"7";"h=1,3+P1+P2*ln(d)";"adjusted global";-8,456763;6,5203689;NA;NA;3;"Coolhem Q";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
