"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"Brondata";"Verklaring"
"<ALL>";"<ALL>";"h=1,3+P1+P2*ln(d)";"global";-17,249501;12,445027;0,955;2,955;855;"Muizenbos";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"14";"h=1,3+P1+P2*ln(d)";"global";-10,252046;9,9985495;0,966;1,981;332;"Muizenbos";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"16";"h=1,3+P1+P2*ln(d)";"global";-7,5240832;7,8308415;0,847;1,622;50;"Muizenbos";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"23";"h=1,3+P1+P2*ln(d)";"global";-2,8870047;5,5475488;0,832;1,156;15;"Muizenbos";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"28";"h=1,3+P1+P2*ln(d)";"global";-0,81150871;4,0693995;0,613;1,374;157;"Muizenbos";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"39";"h=1,3+P1+P2*ln(d)";"global";-2,3634216;4,918697;0,474;1,23;10;"Muizenbos";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"4113";"h=1,3+P1+P2*ln(d)";"global";-3,7255842;4,8039538;0,812;1,162;4;"Muizenbos";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"41";"h=1,3+P1+P2*ln(d)";"global";-3,7255842;4,8039538;0,812;1,162;4;"Muizenbos";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"13";"h=1,3+P1+P2*ln(d)";"global";-3,7255842;4,8039538;0,812;1,162;4;"Muizenbos";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"51";"h=1,3+P1+P2*ln(d)";"global";14,437085;5,1916166;0,421;1,253;106;"Muizenbos";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"77";"h=1,3+P1+P2*ln(d)";"global";-3,9875061;5,9801602;0,714;1,884;18;"Muizenbos";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"81";"h=1,3+P1+P2*ln(d)";"global";-6,1889683;6,7828505;0,912;1,23;8;"Muizenbos";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"86";"h=1,3+P1+P2*ln(d)";"global";-3,6251896;6,8179976;0,9;1,412;6;"Muizenbos";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"89";"h=1,3+P1+P2*ln(d)";"global";-7,1105649;6,6127875;0,774;1,724;115;"Muizenbos";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"9";"h=1,3+P1+P2*ln(d)";"global";-5,0292558;6,9907743;0,857;1,527;14;"Muizenbos";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"151000";"4";"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-19,280873;12,445027;NA;NA;2;"Muizenbos";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"151000";"54";"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-16,252398;12,445027;NA;NA;11;"Muizenbos";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"151000";"63";"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-18,923353;12,445027;NA;NA;4;"Muizenbos";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"151000";"87";"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-18,762671;12,445027;NA;NA;3;"Muizenbos";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
