"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"Brondata";"Verklaring"
"<ALL>";3;"h=1,3+P1+P2*ln(d)";"global";-8,6670084;8,8112715;0,829;1,685;5;"Muizenbos";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"1298";4;"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-22,252987;10,760957;NA;NA;1;"Muizenbos";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"<ALL>";7;"h=1,3+P1+P2*ln(d)";"global";-7,0219427;7,589411;0,997;0,685;7;"Muizenbos";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";9;"h=1,3+P1+P2*ln(d)";"global";-10,385358;8,3681583;0,847;2,134;5;"Muizenbos";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";14;"h=1,3+P1+P2*ln(d)";"global";-8,2537542;8,691452;0,923;2,531;95;"Muizenbos";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";16;"h=1,3+P1+P2*ln(d)";"global";-1,3994748;5,8535753;0,814;1,815;79;"Muizenbos";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";24;"h=1,3+P1+P2*ln(d)";"global";-20,294547;12,70462;0,919;3,366;12;"Muizenbos";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";28;"h=1,3+P1+P2*ln(d)";"global";1,5205682;2,8798085;0,545;1,249;26;"Muizenbos";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";39;"h=1,3+P1+P2*ln(d)";"global";-0,067284927;3,7643214;0,543;1,108;10;"Muizenbos";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"1298";43;"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-17,772345;10,760957;NA;NA;1;"Muizenbos";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"<ALL>";46;"h=1,3+P1+P2*ln(d)";"global";-4,9258411;7,2008938;0,898;0,974;7;"Muizenbos";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";50;"h=1,3+P1+P2*ln(d)";"global";-95,609993;27,261074;0,115;2,167;4;"Muizenbos";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";51;"h=1,3+P1+P2*ln(d)";"global";-23,734338;14,042353;0,699;3,304;172;"Muizenbos";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"1298";54;"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-16,372284;10,760957;NA;NA;1;"Muizenbos";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"<ALL>";57;"h=1,3+P1+P2*ln(d)";"global";-15,257391;11,352452;0,958;0,905;5;"Muizenbos";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";61;"h=1,3+P1+P2*ln(d)";"global";-18,832207;13,889227;0,561;2,239;5;"Muizenbos";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";63;"h=1,3+P1+P2*ln(d)";"all_species";-13,893222;10,760957;0,92;3,791;701;"Muizenbos";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
"1298";64;"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-22,264738;10,760957;NA;NA;2;"Muizenbos";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"<ALL>";69;"h=1,3+P1+P2*ln(d)";"global";-0,15867128;2,416583;0,395;1,156;9;"Muizenbos";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";77;"h=1,3+P1+P2*ln(d)";"global";-6,1252217;7,2955563;0,784;2,436;26;"Muizenbos";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";78;"h=1,3+P1+P2*ln(d)";"global";-2,4366415;6,2647486;0,728;3,78;11;"Muizenbos";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";81;"h=1,3+P1+P2*ln(d)";"global";-12,807053;9,2570643;0,907;1,638;23;"Muizenbos";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";83;"h=1,3+P1+P2*ln(d)";"global";-6,4161807;7,338419;0,687;1,837;11;"Muizenbos";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
