"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"info";"Brondata";"Verklaring"
"<ALL>";"<ALL>";"h=1,3+exp(P1+P2/d)";"all_species";3,5416508;-11,520235;0,937;2,913;828;"Pruikemakers";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
"<ALL>";"4";"h=1,3+exp(P1+P2/d)";"global";2,6227156;-5,5501753;0,63;1,542;10;"Pruikemakers";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"7";"h=1,3+exp(P1+P2/d)";"global";3,6038721;-12,514115;0,915;3,698;115;"Pruikemakers";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"11";"h=1,3+exp(P1+P2/d)";"global";3,2956243;-1,5075289;0,016;1,707;49;"Pruikemakers";"platte curve (allemaal +/- zelfde hoogte";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"14";"h=1,3+exp(P1+P2/d)";"global";3,5563555;-10,193945;0,895;3,032;36;"Pruikemakers";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"16";"h=1,3+exp(P1+P2/d)";"global";3,4853181;-9,905425;0,947;2,361;157;"Pruikemakers";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"24";"h=1,3+exp(P1+P2/d)";"global";3,79391;-22,109946;0,82;2,267;10;"Pruikemakers";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"26";"h=1,3+exp(P1+P2/d)";"global";3,4334586;-9,9694414;0,896;2,765;27;"Pruikemakers";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"27";"h=1,3+exp(P1+P2/d)";"global";3,3789427;-12,639192;0,747;3,406;25;"Pruikemakers";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"28";"h=1,3+exp(P1+P2/d)";"global";2,9828801;-7,0998291;0,731;1,721;26;"Pruikemakers";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"39";"h=1,3+exp(P1+P2/d)";"global";2,6383154;-2,8078671;0,308;2,713;12;"Pruikemakers";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"57";"h=1,3+exp(P1+P2/d)";"global";3,4129875;-9,2822272;0,91;2,735;24;"Pruikemakers";"Ruwe en Zachte berk samen";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
