"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"info";"Brondata";"Verklaring"
"<ALL>";"<ALL>";"h=1,3+exp(P1+P2/d)";"all_species";3,2728779;-8,5287189;0,864;2,998;361;"Heirnisse";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
"<ALL>";"51";"h=1,3+exp(P1+P2/d)";"global";3,5777679;-16,791566;0,809;3,075;51;"Heirnisse";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"87";"h=1,3+exp(P1+P2/d)";"global";3,2226693;-10,53729;0,904;2,754;51;"Heirnisse";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"24";"h=1,3+exp(P1+P2/d)";"global";3,2889518;-7,2945476;0,968;1,229;38;"Heirnisse";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"83";"h=1,3+exp(P1+P2/d)";"global";2,9826205;-5,2975396;0,689;2,549;27;"Heirnisse";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"16";"h=1,3+exp(P1+P2/d)";"global";3,0818136;-6,467317;0,858;2,137;25;"Heirnisse";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"89";"h=1,3+exp(P1+P2/d)";"global";3,1647112;-8,6050678;0,711;3,211;25;"Heirnisse";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"11";"h=1,3+exp(P1+P2/d)";"global";3,1409414;-5,7052564;0,515;1,94;24;"Heirnisse";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"78";"h=1,3+exp(P1+P2/d)";"global";3,2607586;-9,791765;0,839;3,042;22;"Heirnisse";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"14";"h=1,3+exp(P1+P2/d)";"global";3,0870205;-5,2156592;0,756;1,727;21;"Heirnisse";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"57";"h=1,3+exp(P1+P2/d)";"global";3,1881212;-6,9452752;0,781;2,117;21;"Heirnisse";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"86";"h=1,3+exp(P1+P2/d)";"global";3,1439078;-5,6893452;0,948;1,062;13;"Heirnisse";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"52";"h=1,3+exp(P1+P2/d)";"global";3,2997314;-7,6612055;0,77;1,727;12;"Heirnisse";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"28";"h=1,3+exp(P1+P2/d)";"global";2,6113855;-3,3050017;0,903;0,477;7;"Heirnisse";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"4";"h=1,3+exp(P1+P2/d)";"global";2,9272934;-6,7677128;0,621;3,248;7;"Heirnisse";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"77";"h=1,3+exp(P1+P2/d)";"global";2,9203969;-6,7037494;0,582;1,534;4;"Heirnisse";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"799";"3";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,1901519;-8,5287189;NA;NA;3;"Heirnisse";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"799";"69";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,111781;-8,5287189;NA;NA;3;"Heirnisse";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"799";"39";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,358673;-8,5287189;NA;NA;2;"Heirnisse";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"799";"20";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";2,5933381;-8,5287189;NA;NA;1;"Heirnisse";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"799";"54";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,1204959;-8,5287189;NA;NA;1;"Heirnisse";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"799";"63";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,1204959;-8,5287189;NA;NA;1;"Heirnisse";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"799";"64";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";2,856733;-8,5287189;NA;NA;1;"Heirnisse";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"799";"71";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,3382158;-8,5287189;NA;NA;1;"Heirnisse";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"799";"23";"h=1,3+exp(P1+P2/d)";"all_species";3,2728779;-8,5287189;NA;NA;0;"Heirnisse";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
NA;"6";"h=1,3+exp(P1+P2/d)";"global";3,1881212;-6,9452752;0,781;2,117;0;"Heirnisse";"enkel dode, curve van Ruwe berk overgenomen";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
