"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"Brondata";"Verklaring"
"<ALL>";NA;"h=1,3+exp(P1+P2/d)";"global";3,6813511;-15,120555;0,926;3,728;250;"Ename";"2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";14;"h=1,3+exp(P1+P2/d)";"global";3,6367022;-12,828759;0,936;3,219;45;"Ename";"2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";16;"h=1,3+exp(P1+P2/d)";"global";3,3113823;-9,0956397;0,945;1,782;22;"Ename";"2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";24;"h=1,3+exp(P1+P2/d)";"global";3,4497982;-9,9369406;0,726;3,798;8;"Ename";"2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";27;"h=1,3+exp(P1+P2/d)";"global";3,2161572;-9,2381172;0,738;3,612;14;"Ename";"2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";51;"h=1,3+exp(P1+P2/d)";"global";3,7320751;-13,438829;0,796;3,175;53;"Ename";"2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";57;"h=1,3+exp(P1+P2/d)";"global";3,1198518;-9,3886727;0,752;2,898;9;"Ename";"2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";64;"h=1,3+exp(P1+P2/d)";"global";3,4700876;-11,105665;0,665;4,772;7;"Ename";"2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";69;"h=1,3+exp(P1+P2/d)";"global";1,9782633;-2,026343;0,605;0,64;5;"Ename";"2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";7;"h=1,3+exp(P1+P2/d)";"global";3,5897528;-9,6429468;0,451;2,313;15;"Ename";"2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";77;"h=1,3+exp(P1+P2/d)";"global";2,9416565;-4,4724592;0,875;1,159;9;"Ename";"2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";78;"h=1,3+exp(P1+P2/d)";"global";4,4471311;-41,376013;0,303;4,241;4;"Ename";"2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";87;"h=1,3+exp(P1+P2/d)";"global";3,6232436;-11,678093;0,934;2,88;35;"Ename";"2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";89;"h=1,3+exp(P1+P2/d)";"global";3,003794;-5,5887714;0,651;2,328;13;"Ename";"2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"1308";3;"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,6278669;-15,120555;NA;NA;1;"Ename";"2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"1324";9;"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,3942334;-15,120555;NA;NA;2;"Ename";"2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"1324";13;"h=1,3+exp(P1+P2/d)";"all_species";3,6813511;-15,120555;NA;NA;0;"Ename";"2eSET";"globale hoogtecurve van geclusterde soorten"
"1367";19;"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,5730707;-15,120555;NA;NA;2;"Ename";"2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"1301";23;"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,5890303;-15,120555;NA;NA;2;"Ename";"2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"1300";28;"h=1,3+exp(P1+P2/d)";"all_species";3,6813511;-15,120555;NA;NA;0;"Ename";"2eSET";"globale hoogtecurve van geclusterde soorten"
"1321";39;"h=1,3+exp(P1+P2/d)";"all_species";3,6813511;-15,120555;NA;NA;0;"Ename";"2eSET";"globale hoogtecurve van geclusterde soorten"
"1300";40;"h=1,3+exp(P1+P2/d)";"all_species";3,6813511;-15,120555;NA;NA;0;"Ename";"2eSET";"globale hoogtecurve van geclusterde soorten"
"1326";41;"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,23575153333333;-15,120555;NA;NA;3;"Ename";"2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"1343";53;"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,8310241;-15,120555;NA;NA;1;"Ename";"2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"1341";59;"h=1,3+exp(P1+P2/d)";"all_species";3,6813511;-15,120555;NA;NA;0;"Ename";"2eSET";"globale hoogtecurve van geclusterde soorten"
"1369";63;"h=1,3+exp(P1+P2/d)";"all_species";3,6813511;-15,120555;NA;NA;0;"Ename";"2eSET";"globale hoogtecurve van geclusterde soorten"
"1300";74;"h=1,3+exp(P1+P2/d)";"all_species";3,6813511;-15,120555;NA;NA;0;"Ename";"2eSET";"globale hoogtecurve van geclusterde soorten"
"<ALL>";86;"h=1,3+exp(P1+P2/d)";"global";3,1198518;-9,3886727;0,752;2,898;9;"Ename";"2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar (ruwe berk)"
