"...1";"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"info";"Brondata";"Verklaring"
"1";"<ALL>";"<ALL>";"h=1,3+P1+P2*ln(d)";"global";-8,4690796;8,6051238;0,915;3,264;801;"Wijnendalebos";NA;"1eSET+3eSET";"globale hoogtecurve van geclusterde soorten"
"2";"<ALL>";"11";"h=1,3+P1+P2*ln(d)";"global";-25,024676;13,149623;0,844;2,384;7;"Wijnendalebos";NA;"1eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"3";"<ALL>";"12";"h=1,3+P1+P2*ln(d)";"global";-45,276246;17,694531;0,821;3,822;4;"Wijnendalebos";NA;"1eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"4";"<ALL>";"14";"h=1,3+P1+P2*ln(d)";"global";-3,3532493;7,4749289;0,822;2,596;66;"Wijnendalebos";NA;"1eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"5";"<ALL>";"16";"h=1,3+P1+P2*ln(d)";"global";-8,1015557;8,8417224;0,891;2,641;95;"Wijnendalebos";NA;"1eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"6";"<ALL>";"23";"h=1,3+P1+P2*ln(d)";"global";0,10427879;5,1294632;0,453;2,577;13;"Wijnendalebos";NA;"1eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"7";"<ALL>";"27";"h=1,3+P1+P2*ln(d)";"global";-8,679384;7,4916697;0,933;1,321;6;"Wijnendalebos";NA;"1eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"8";"<ALL>";"32";"h=1,3+P1+P2*ln(d)";"adjusted global";-6,7545234;8,6051238;NA;NA;20;"Wijnendalebos";"alle lorken samen";"1eSET+3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"9";"<ALL>";"39";"h=1,3+P1+P2*ln(d)";"global";2,9825277;2,9878459;0,284;1,694;10;"Wijnendalebos";NA;"1eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"10";"<ALL>";"51";"h=1,3+P1+P2*ln(d)";"global";14,24336;3,7314762;0,472;2,527;78;"Wijnendalebos";NA;"1eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"11";"<ALL>";"57";"h=1,3+P1+P2*ln(d)";"global";-8,4927711;8,971149;0,867;2,357;26;"Wijnendalebos";NA;"1eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"12";"<ALL>";"6";"h=1,3+P1+P2*ln(d)";"global";-8,4927711;8,971149;NA;NA;0;"Wijnendalebos";"copie curve Ruwe berk (geen eigen metingen)";"1eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"13";"<ALL>";"64";"h=1,3+P1+P2*ln(d)";"global";-7,4312194;7,7296073;0,92;2,752;52;"Wijnendalebos";NA;"1eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"14";"<ALL>";"7";"h=1,3+P1+P2*ln(d)";"global";-10,317095;9,1852072;0,857;3,059;181;"Wijnendalebos";NA;"1eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"15";"<ALL>";"78";"h=1,3+P1+P2*ln(d)";"global";-9,1243409;8,3450734;0,341;4,808;7;"Wijnendalebos";NA;"1eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"16";"<ALL>";"83";"h=1,3+P1+P2*ln(d)";"global";-3,4710913;6,0194646;0,633;2,605;23;"Wijnendalebos";NA;"1eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"17";"<ALL>";"86";"h=1,3+P1+P2*ln(d)";"global";-12,453371;10,598869;0,93;1,911;14;"Wijnendalebos";NA;"1eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"18";"<ALL>";"87";"h=1,3+P1+P2*ln(d)";"global";-4,8029576;7,1939145;0,814;3,157;152;"Wijnendalebos";NA;"1eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"19";"<ALL>";"89";"h=1,3+P1+P2*ln(d)";"global";-20,778048;13,285458;0,9;2,735;28;"Wijnendalebos";NA;"1eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"20";"<ALL>";"9";"h=1,3+P1+P2*ln(d)";"global";-8,6385739;8,1422897;0,874;4,396;4;"Wijnendalebos";NA;"1eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"21";"599";"17";"h=1,3+P1+P2*ln(d)";"adjusted global";-6,7545234;8,6051238;NA;NA;20;"Wijnendalebos";"alle lorken samen";"1eSET+3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"22";"599";"24";"h=1,3+P1+P2*ln(d)";"adjusted global";-5,6569355;8,6051238;NA;NA;2;"Wijnendalebos";NA;"1eSET+3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"23";"599";"28";"h=1,3+P1+P2*ln(d)";"adjusted global";-9,3843317;8,6051238;NA;NA;3;"Wijnendalebos";NA;"1eSET+3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"24";"599";"3";"h=1,3+P1+P2*ln(d)";"adjusted global";-14,885268;8,6051238;NA;NA;1;"Wijnendalebos";NA;"1eSET+3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"25";"599";"31";"h=1,3+P1+P2*ln(d)";"adjusted global";-10,399413;8,6051238;NA;NA;2;"Wijnendalebos";NA;"1eSET+3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"26";"599";"40";"h=1,3+P1+P2*ln(d)";"adjusted global";-6,7545234;8,6051238;NA;NA;20;"Wijnendalebos";"alle lorken samen";"1eSET+3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
