"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"info";"Brondata";"Verklaring"
"<ALL>";"<ALL>";"h=1,3+P1+P2*ln(d)";"all_species";-9,7287469;9,6496432;0,939;2,786;623;"Bos Terrijst";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
"<ALL>";"14";"h=1,3+P1+P2*ln(d)";"global";-3,0675578;8,0723836;0,924;2,267;76;"Bos Terrijst";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"16";"h=1,3+P1+P2*ln(d)";"global";-11,477233;10,477253;0,954;2,153;62;"Bos Terrijst";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"24";"h=1,3+P1+P2*ln(d)";"global";-10,261916;10,049873;0,865;2,304;46;"Bos Terrijst";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"27";"h=1,3+P1+P2*ln(d)";"global";-7,8829839;8,5768235;0,586;2,146;12;"Bos Terrijst";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"28";"h=1,3+P1+P2*ln(d)";"global";-9,9846415;9,0415325;0,79;2;14;"Bos Terrijst";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"3";"h=1,3+P1+P2*ln(d)";"global";-6,0566378;8,7175782;0,955;2,338;37;"Bos Terrijst";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"39";"h=1,3+P1+P2*ln(d)";"global";-4,1323676;6,4218493;0,986;0,532;4;"Bos Terrijst";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"51";"h=1,3+P1+P2*ln(d)";"global";0,54071613;7,8393404;0,547;2,378;49;"Bos Terrijst";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"57";"h=1,3+P1+P2*ln(d)";"global";-6,7692245;8,8646984;0,89;1,881;39;"Bos Terrijst";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"64";"h=1,3+P1+P2*ln(d)";"global";-1,8924906;6,8358834;0,849;2,53;71;"Bos Terrijst";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"7";"h=1,3+P1+P2*ln(d)";"global";-5,6382389;8,6122628;0,97;1,896;77;"Bos Terrijst";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"87";"h=1,3+P1+P2*ln(d)";"global";-12,376246;10,16023;0,927;2,625;111;"Bos Terrijst";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"89";"h=1,3+P1+P2*ln(d)";"global";-15,316647;10,564946;0,932;2,155;4;"Bos Terrijst";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"9";"h=1,3+P1+P2*ln(d)";"global";-3,880634;7,6369007;0,917;2,61;12;"Bos Terrijst";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"899";"13";"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-15,308891;9,6496432;NA;NA;3;"Bos Terrijst";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"899";"53";"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-12,278463;9,6496432;NA;NA;1;"Bos Terrijst";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"899";"69";"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-15,579228;9,6496432;NA;NA;4;"Bos Terrijst";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"899";"78";"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-15,002433;9,6496432;NA;NA;1;"Bos Terrijst";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"899";"86";"h=1,3+P1+P2*ln(d)";"global";-6,7692245;8,8646984;NA;NA;0;"Bos Terrijst";"cfr Ruwe berk";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
NA;"48";"h=1,3+P1+P2*ln(d)";"all_species";-9,7287469;9,6496432;NA;NA;0;"Bos Terrijst";"enkel dode";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
NA;"77";"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-15,002433;9,6496432;NA;NA;0;"Bos Terrijst";"cfr smalbladige wilg";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
