"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"Brondata";"Verklaring"
"<ALL>";NA;"h=1,3+exp(P1+P2/d)";"all_species";3,4510173;-10,560158;0,919;2,888;166;"De heide";"2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";14;"h=1,3+exp(P1+P2/d)";"global";3,3779715;-6,1574212;0,566;3,017;9;"De heide";"2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";16;"h=1,3+exp(P1+P2/d)";"global";3,3657135;-8,8286841;0,959;2,056;32;"De heide";"2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";24;"h=1,3+exp(P1+P2/d)";"global";3,5016146;-10,932382;0,993;1,461;7;"De heide";"2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";27;"h=1,3+exp(P1+P2/d)";"global";3,274101;-8,0380753;0,835;3,158;22;"De heide";"2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";57;"h=1,3+exp(P1+P2/d)";"global";3,5274997;-10,501442;0,916;3,091;13;"De heide";"2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";7;"h=1,3+exp(P1+P2/d)";"global";3,6030314;-11,959152;0,996;0,856;6;"De heide";"2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";77;"h=1,3+exp(P1+P2/d)";"global";2,7716708;-3,6297314;0,855;1,049;8;"De heide";"2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";87;"h=1,3+exp(P1+P2/d)";"global";3,492748;-12,394872;0,78;2,954;64;"De heide";"2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"1435";4;"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,3721109;-10,560158;NA;NA;1;"De heide";"2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"1433";6;"h=1,3+exp(P1+P2/d)";"all_species";2,7716708;-3,6297314;0,855;1,049;0;"De heide";"2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar (Ruwe berk)"
"1418";17;"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,4033513;-10,560158;NA;NA;1;"De heide";"2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"1401";28;"h=1,3+exp(P1+P2/d)";"all_species";3,4510173;-10,560158;NA;NA;0;"De heide";"2eSET";"globale hoogtecurve van geclusterde soorten"
"1426";31;"h=1,3+exp(P1+P2/d)";"all_species";3,4510173;-10,560158;NA;NA;0;"De heide";"2eSET";"globale hoogtecurve van geclusterde soorten"
"1433";39;"h=1,3+exp(P1+P2/d)";"all_species";3,4510173;-10,560158;NA;NA;0;"De heide";"2eSET";"globale hoogtecurve van geclusterde soorten"
"1414";80;"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,4548811;-10,560158;NA;NA;1;"De heide";"2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"1410";86;"h=1,3+exp(P1+P2/d)";"all_species";2,7716708;-3,6297314;0,855;1,049;0;"De heide";"2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar (Ruwe berk)"
"1419";89;"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,3069065;-10,560158;NA;NA;1;"De heide";"2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
