"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"Brondata";"Verklaring"
"<ALL>";"<ALL>";"h=1,3+exp(P1+P2/d)";"all_species";3,6861271;-13,818319;0,908;3,745;479;"Jansheideberg";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
"<ALL>";"16";"h=1,3+exp(P1+P2/d)";"global";3,2442402;-8,5014806;0,874;2,135;129;"Jansheideberg";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"17";"h=1,3+exp(P1+P2/d)";"global";3,4812534;-11,450731;0,51;1,253;12;"Jansheideberg";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"39";"h=1,3+exp(P1+P2/d)";"global";3,2662125;-12,283493;0,704;1,533;12;"Jansheideberg";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"64";"h=1,3+exp(P1+P2/d)";"global";3,6952774;-17,937129;0,964;1,449;12;"Jansheideberg";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"7";"h=1,3+exp(P1+P2/d)";"global";3,7584886;-12,401806;0,896;2,254;193;"Jansheideberg";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"87";"h=1,3+exp(P1+P2/d)";"global";3,4404182;-11,16491;0,8;1,444;115;"Jansheideberg";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"101001";"27";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,5027421;-13,818319;NA;NA;2;"Jansheideberg";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"101001";"28";"h=1,3+exp(P1+P2/d)";"all_species";3,6861271;-13,818319;NA;NA;0;"Jansheideberg";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
"101001";"31";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,2519257;-13,818319;NA;NA;2;"Jansheideberg";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"101001";"69";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,9189119;-13,818319;NA;NA;2;"Jansheideberg";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
