"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"info";"Brondata";"Verklaring"
"<ALL>";"<ALL>";"h=1,3+P1+P2*ln(d)";"all_species";-9,9210936;9,196362;0,948;2,778;595;"Everzwijnbad";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
"<ALL>";"4";"h=1,3+P1+P2*ln(d)";"global";-11,98317;9,4462715;0,901;1,397;9;"Everzwijnbad";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"7";"h=1,3+P1+P2*ln(d)";"global";-7,7626296;9,3941818;0,928;2,753;117;"Everzwijnbad";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"9";"h=1,3+P1+P2*ln(d)";"global";-8,1458212;8,2813024;0,946;1,721;29;"Everzwijnbad";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"14";"h=1,3+P1+P2*ln(d)";"global";10,176221;4,2728059;0,481;1,206;9;"Everzwijnbad";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"16";"h=1,3+P1+P2*ln(d)";"global";-8,807979;8,7875447;0,969;1,785;94;"Everzwijnbad";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"24";"h=1,3+P1+P2*ln(d)";"global";-32,269464;14,592447;0,611;2,907;10;"Everzwijnbad";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"27";"h=1,3+P1+P2*ln(d)";"global";-10,220134;8,266167;0,723;2,298;27;"Everzwijnbad";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"28";"h=1,3+P1+P2*ln(d)";"global";-4,0963346;6,0022626;0,825;0,994;19;"Everzwijnbad";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"199";"31";"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-12,277669;9,196362;NA;NA;2;"Everzwijnbad";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"199";"32";"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-6,6283415;9,196362;NA;NA;2;"Everzwijnbad";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"<ALL>";"39";"h=1,3+P1+P2*ln(d)";"global";-10,813581;9,0724101;0,914;2,445;4;"Everzwijnbad";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"199";"50";"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-20,807446;9,196362;NA;NA;1;"Everzwijnbad";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"<ALL>";"57";"h=1,3+P1+P2*ln(d)";"global";-12,153203;10,466716;0,997;0,747;5;"Everzwijnbad";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"199";"63";"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-9,6465129;9,196362;NA;NA;3;"Everzwijnbad";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"199";"64";"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-11,469164;9,196362;NA;NA;2;"Everzwijnbad";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"199";"80";"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-10,307729;9,196362;NA;NA;3;"Everzwijnbad";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
NA;"83";"h=1,3+P1+P2*ln(d)";"adjusted global";-10,351913;9,196362;NA;NA;1;"Everzwijnbad";"cfr Zwarte els";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"<ALL>";"87";"h=1,3+P1+P2*ln(d)";"global";-9,1488273;8,7645412;0,942;2,389;258;"Everzwijnbad";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"199";"89";"h=1,3+P1+P2*ln(d)";"adjusted global";-10,351913;9,196362;NA;NA;1;"Everzwijnbad";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
