"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"Brondata";"Verklaring"
"<ALL>";"<ALL>";"h=1,3+exp(P1+P2/d)";"all_species";3,4602521;-10,594639;0,898;3,057;161;"Heirnisse";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
"<ALL>";"83";"h=1,3+exp(P1+P2/d)";"global";3,0605908;-5,3451568;0,694;2,635;31;"Heirnisse";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"16";"h=1,3+exp(P1+P2/d)";"global";2,9883922;-5,812833;0,904;1,423;19;"Heirnisse";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"51";"h=1,3+exp(P1+P2/d)";"global";3,7208025;-17,954653;0,731;1,756;18;"Heirnisse";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"89";"h=1,3+exp(P1+P2/d)";"global";3,1216751;-7,4348398;0,817;2,435;18;"Heirnisse";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"78";"h=1,3+exp(P1+P2/d)";"global";3,2518971;-6,1736645;0,952;1,214;17;"Heirnisse";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"86";"h=1,3+exp(P1+P2/d)";"global";3,3301267;-7,8194513;0,881;1,654;16;"Heirnisse";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"14";"h=1,3+exp(P1+P2/d)";"global";3,0045077;-4,8802665;0,565;2,157;15;"Heirnisse";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"87";"h=1,3+exp(P1+P2/d)";"global";3,1312272;-8,3515993;0,941;1,606;12;"Heirnisse";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"57";"h=1,3+exp(P1+P2/d)";"global";2,9126177;-1,4061406;0,577;0,532;8;"Heirnisse";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"91001";"28";"h=1,3+exp(P1+P2/d)";"global";2,6113855;-3,3050017;0,903;0,477;7;"Heirnisse";"1eSET+2eSET CP's";"eigen curve obv CP's: voldoende bomen voor de soort beschikbaar"
"91001";"24";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,2326976;-10,711983;NA;NA;1;"Heirnisse";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"91001";"3";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,4183836;-10,711983;NA;NA;1;"Heirnisse";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"91001";"4";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,0233774;-10,711983;NA;NA;1;"Heirnisse";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"91001";"63";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,7721825;-10,711983;NA;NA;1;"Heirnisse";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"91001";"69";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,220415;-10,711983;NA;NA;1;"Heirnisse";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"91001";"77";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,1371396;-10,711983;NA;NA;1;"Heirnisse";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"91001";"54";"h=1,3+exp(P1+P2/d)";"all_species";3,4602521;-10,594639;NA;NA;0;"Heirnisse";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
