"...1";"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"info";"Brondata";"Verklaring"
"1";"<ALL>";"<ALL>";"h=1,3+P1+P2*ln(d)";"global";-10,745707;9,8219444;0,957;2,632;598;"Bos Terrijst";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten"
"2";"<ALL>";"14";"h=1,3+exp(P1+P2/d)";"global";3,5620752;-9,4735427;0,983;1,669;12;"Bos Terrijst";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"3";"<ALL>";"16";"h=1,3+P1+P2*ln(d)";"global";-10,588048;10,288831;0,895;2,154;213;"Bos Terrijst";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"4";"<ALL>";"24";"h=1,3+exp(P1+P2/d)";"global";4,0208842;-40,824613;0,222;2,072;8;"Bos Terrijst";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"5";"<ALL>";"28";"h=1,3+P1+P2*ln(d)";"global";-5,7115055;7,0502162;0,811;1,753;10;"Bos Terrijst";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"6";"<ALL>";"64";"h=1,3+P1+P2*ln(d)";"global";-18,187774;11,975609;0,926;2,554;151;"Bos Terrijst";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"7";"<ALL>";"69";"h=1,3+P1+P2*ln(d)";"global";-2,3736858;3,7137557;0,634;1,41;22;"Bos Terrijst";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"8";"<ALL>";"7";"h=1,3+P1+P2*ln(d)";"global";-10,147068;9,6263571;0,992;1,518;18;"Bos Terrijst";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"9";"<ALL>";"81";"h=1,3+P1+P2*ln(d)";"global";-6,2827367;6,9931134;0,779;1,329;4;"Bos Terrijst";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"10";"<ALL>";"87";"h=1,3+exp(P1+P2/d)";"global";3,6796353;-17,379778;0,756;2,434;152;"Bos Terrijst";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"11";"111001";"31";"h=1,3+P1+P2*ln(d)";"adjusted global";-10,745707;9,8219444;NA;NA;0;"Bos Terrijst";"geen metingen";"1e2e3eSET";"globale hoogtecurve van geclusterde soorten"
"12";"111001";"39";"h=1,3+P1+P2*ln(d)";"adjusted global";-11,219611;9,8219444;NA;NA;2;"Bos Terrijst";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"13";"111001";"57";"h=1,3+P1+P2*ln(d)";"adjusted global";-10,415863;9,8219444;NA;NA;1;"Bos Terrijst";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"14";"111001";"89";"h=1,3+P1+P2*ln(d)";"adjusted global";-12,142333;9,8219444;NA;NA;2;"Bos Terrijst";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"15";"111001";"9";"h=1,3+P1+P2*ln(d)";"adjusted global";-11,376859;9,8219444;NA;NA;3;"Bos Terrijst";NA;NA;NA
