"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"Brondata";"Verklaring"
"<ALL>";NA;"h=1,3+P1+P2*ln(d)";"all_species";-5,4149482;6,7465569;0,928;2,234;771;"Sevendonck";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
"<ALL>";14;"h=1,3+P1+P2*ln(d)";"global";-0,59962661;5,1353632;0,774;1,595;35;"Sevendonck";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";24;"h=1,3+P1+P2*ln(d)";"global";1,7698966;4,7033716;0,83;1,865;23;"Sevendonck";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";26;"h=1,3+P1+P2*ln(d)";"global";3,1593599;4,2021576;0,425;2,346;130;"Sevendonck";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";39;"h=1,3+P1+P2*ln(d)";"global";-1,995921;4,5360807;0,603;1,351;54;"Sevendonck";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";51;"h=1,3+P1+P2*ln(d)";"global";-32,968281;14,172899;0,656;2,139;8;"Sevendonck";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";57;"h=1,3+P1+P2*ln(d)";"global";-3,6272772;6,4917877;0,912;1,52;28;"Sevendonck";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";63;"h=1,3+P1+P2*ln(d)";"global";-0,79894844;3,6771803;0,798;0,794;23;"Sevendonck";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";77;"h=1,3+P1+P2*ln(d)";"global";0,1646761;3,1279793;0,806;1,076;14;"Sevendonck";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";78;"h=1,3+P1+P2*ln(d)";"global";-6,950665;7,1547088;0,482;2,64;8;"Sevendonck";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";83;"h=1,3+P1+P2*ln(d)";"global";-3,2224678;5,137514;0,674;1,325;10;"Sevendonck";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";86;"h=1,3+P1+P2*ln(d)";"global";-3,02772;5,833553;0,898;1,586;136;"Sevendonck";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";87;"h=1,3+P1+P2*ln(d)";"global";-8,2458413;7,5676628;0,931;2,223;206;"Sevendonck";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";89;"h=1,3+P1+P2*ln(d)";"global";-5,0646695;6,7423973;0,78;2,774;85;"Sevendonck";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"1198";6;"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-6,1237006;6,7465569;NA;NA;1;"Sevendonck";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"1198";9;"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-6,8830095;6,7465569;NA;NA;2;"Sevendonck";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"1197";12;"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-8,6794794;6,7465569;NA;NA;2;"Sevendonck";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"1198";28;"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-8,4273385;6,7465569;NA;NA;4;"Sevendonck";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"1199";32;"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-3,5962425;6,7465569;NA;NA;1;"Sevendonck";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"1198";69;"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-7,1681935;6,7465569;NA;NA;1;"Sevendonck";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"1197";4;"h=1,3+P1+P2*ln(d)";"all_species";-5,4149482;6,7465569;NA;NA;0;"Sevendonck";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
