"...1";"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"info";"Brondata";"Verklaring"
"14";"<ALL>";"83";"h=1,3+exp(P1+P2/d)";"global";3,0105077;-5,5996225;0,726;2,317;38;"Heirnisse";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"15";"<ALL>";"86";"h=1,3+exp(P1+P2/d)";"global";3,1667393;-6,3398813;0,928;1,445;21;"Heirnisse";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"16";"<ALL>";"87";"h=1,3+exp(P1+P2/d)";"global";3,2339048;-10,568217;0,913;2,444;92;"Heirnisse";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"17";"<ALL>";"89";"h=1,3+exp(P1+P2/d)";"global";3,1547851;-8,3606554;0,721;2,933;31;"Heirnisse";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"18";"799";"20";"h=1,3+exp(P1+P2/d)";"adjusted global";2,6457744;-9,0530818;NA;NA;1;"Heirnisse";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"19";"799";"23";"h=1,3+exp(P1+P2/d)";"adjusted global";3,2896856;-9,0530818;NA;NA;0;"Heirnisse";"geen metingen";"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"20";"799";"54";"h=1,3+exp(P1+P2/d)";"adjusted global";3,1954049;-9,0530818;NA;NA;1;"Heirnisse";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"21";"799";"63";"h=1,3+exp(P1+P2/d)";"adjusted global";3,1954049;-9,0530818;NA;NA;1;"Heirnisse";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"22";"799";"64";"h=1,3+exp(P1+P2/d)";"adjusted global";2,911436;-9,0530818;NA;NA;2;"Heirnisse";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"23";"799";"69";"h=1,3+exp(P1+P2/d)";"adjusted global";3,1902844;-9,0530818;NA;NA;3;"Heirnisse";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"24";"799";"71";"h=1,3+exp(P1+P2/d)";"adjusted global";3,4037611;-9,0530818;NA;NA;1;"Heirnisse";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"25";"799";"77";"h=1,3+exp(P1+P2/d)";"adjusted global";2,9907847;-9,0530818;NA;NA;5;"Heirnisse";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"26";NA;"6";"h=1,3+exp(P1+P2/d)";"global";3,2896856;-9,0530818;NA;NA;0;"Heirnisse";"enkel dode bomen";"1e2e3eSET";"globale hoogtecurve van geclusterde soorten"
"27";NA;"46";"h=1,3+exp(P1+P2/d)";"global";3,2896856;-9,0530818;NA;NA;0;"Heirnisse";"enkel dode bomen";"1e2e3eSET";"globale hoogtecurve van geclusterde soorten"
"28";NA;"58";"h=1,3+exp(P1+P2/d)";"global";3,2896856;-9,0530818;NA;NA;0;"Heirnisse";"enkel dode bomen";"1e2e3eSET";"globale hoogtecurve van geclusterde soorten"
