"...1";"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"info";"Brondata";"Verklaring"
"1";"<ALL>";"<ALL>";"h=1,3+exp(P1+P2/d)";"global";3,2896856;-9,0530818;0,878;2,888;515;"Heirnisse";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten"
"2";"<ALL>";"11";"h=1,3+exp(P1+P2/d)";"global";3,3571551;-9,9541296;0,777;2,029;34;"Heirnisse";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"3";"<ALL>";"14";"h=1,3+exp(P1+P2/d)";"global";3,0889752;-5,2024011;0,78;1,653;23;"Heirnisse";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"4";"<ALL>";"16";"h=1,3+exp(P1+P2/d)";"global";2,9862216;-5,9708364;0,917;1,448;30;"Heirnisse";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"5";"<ALL>";"24";"h=1,3+exp(P1+P2/d)";"global";3,2965655;-7,4023003;0,965;1,367;52;"Heirnisse";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"6";"<ALL>";"28";"h=1,3+exp(P1+P2/d)";"global";2,5761384;-3,2896854;0,638;0,982;8;"Heirnisse";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"7";"<ALL>";"3";"h=1,3+exp(P1+P2/d)";"global";3,0831197;-6,1078704;0,95;1,516;7;"Heirnisse";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"8";"<ALL>";"39";"h=1,3+exp(P1+P2/d)";"global";2,6663239;-4,4356182;0,407;2,205;5;"Heirnisse";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"9";"<ALL>";"4";"h=1,3+exp(P1+P2/d)";"global";3,0116548;-8,8960658;0,697;3,182;9;"Heirnisse";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"10";"<ALL>";"51";"h=1,3+exp(P1+P2/d)";"global";3,5477679;-16,534732;0,799;2,874;78;"Heirnisse";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"11";"<ALL>";"52";"h=1,3+exp(P1+P2/d)";"global";3,1620813;-6,1827821;0,828;1,643;15;"Heirnisse";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"12";"<ALL>";"57";"h=1,3+exp(P1+P2/d)";"global";3,2187135;-7,5063862;0,777;2,169;33;"Heirnisse";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"13";"<ALL>";"78";"h=1,3+exp(P1+P2/d)";"global";3,2860476;-9,6823571;0,868;2,738;25;"Heirnisse";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
