"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"info";"Brondata";"Verklaring"
"<ALL>";"<ALL>";"h=1,3+exp(P1+P2/d)";"all_species";3,5843439;-13,49961;0,894;3,563;332;"Jansheideberg";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
"<ALL>";"7";"h=1,3+exp(P1+P2/d)";"global";3,7172931;-11,402578;0,878;2,719;51;"Jansheideberg";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"14";"h=1,3+exp(P1+P2/d)";"global";3,4649466;-8,4300267;0,528;2,78;32;"Jansheideberg";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"16";"h=1,3+exp(P1+P2/d)";"global";3,4287821;-10,733144;0,953;2,126;63;"Jansheideberg";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"17";"h=1,3+exp(P1+P2/d)";"global";3,5116972;-9,6284187;0,23;2,778;32;"Jansheideberg";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"27";"h=1,3+exp(P1+P2/d)";"global";3,3391874;-10,939934;0,863;2,422;35;"Jansheideberg";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"39";"h=1,3+exp(P1+P2/d)";"global";2,9519465;-7,3313605;0,735;1,66;22;"Jansheideberg";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"64";"h=1,3+exp(P1+P2/d)";"global";3,4987146;-16,145276;0,921;2,809;36;"Jansheideberg";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"80";"h=1,3+exp(P1+P2/d)";"global";3,5463314;-12,941785;0,948;2,158;8;"Jansheideberg";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"87";"h=1,3+exp(P1+P2/d)";"global";3,4743475;-12,12334;0,788;1,856;23;"Jansheideberg";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"91";"h=1,3+exp(P1+P2/d)";"global";3,359741;-7,2249371;0,715;1,682;22;"Jansheideberg";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"839";"28";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,0677869;-13,49961;NA;NA;1;"Jansheideberg";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"839";"40";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,5212606;-13,49961;NA;NA;2;"Jansheideberg";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"839";"54";"h=1,3+exp(P1+P2/d)";"all_species";3,5843439;-13,49961;NA;NA;0;"Jansheideberg";"geen metingen";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
"839";"81";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,4284495;-13,49961;NA;NA;2;"Jansheideberg";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"839";"83";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,4630803;-13,49961;NA;NA;1;"Jansheideberg";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"839";"86";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,5182797;-13,49961;NA;NA;2;"Jansheideberg";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
