"...1";"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"Brondata";"Verklaring"
"1";"<ALL>";"<ALL>";"h=1,3+P1+P2*ln(d)";"global";-5,481336;7,57126;0,922;2,525;809;"Wijnendalebos";"1eSET+2eSET+3eSET";"globale hoogtecurve van geclusterde soorten"
"2";"<ALL>";"14";"h=1,3+P1+P2*ln(d)";"global";6,2774265;4,6062612;0,725;3,284;7;"Wijnendalebos";"1eSET+2eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"3";"<ALL>";"16";"h=1,3+P1+P2*ln(d)";"global";-8,1657152;8,8406454;0,874;2,111;436;"Wijnendalebos";"1eSET+2eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"4";"<ALL>";"39";"h=1,3+P1+P2*ln(d)";"global";-3,4886238;5,6231619;0,891;1,594;5;"Wijnendalebos";"1eSET+2eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"5";"<ALL>";"51";"h=1,3+P1+P2*ln(d)";"global";-3,9896245;7,6330151;0,647;2,715;31;"Wijnendalebos";"1eSET+2eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"6";"<ALL>";"57";"h=1,3+P1+P2*ln(d)";"global";-4,356889;7,9293307;0,904;2,017;16;"Wijnendalebos";"1eSET+2eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"7";"<ALL>";"64";"h=1,3+exp(P1+P2/d)";"global";3,273797;-9,0734071;0,824;2,516;69;"Wijnendalebos";"1eSET+2eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"8";"<ALL>";"7";"h=1,3+P1+P2*ln(d)";"global";-13,164665;9,7391747;0,817;2,105;85;"Wijnendalebos";"1eSET+2eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"9";"<ALL>";"83";"h=1,3+P1+P2*ln(d)";"global";-1,1433832;5,9540227;0,58;2,556;10;"Wijnendalebos";"1eSET+2eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"10";"<ALL>";"86";"h=1,3+P1+P2*ln(d)";"global";1,6972168;5,0872763;0,793;1,737;15;"Wijnendalebos";"1eSET+2eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"11";"<ALL>";"87";"h=1,3+P1+P2*ln(d)";"global";-10,282872;8,0651038;0,916;2,457;57;"Wijnendalebos";"1eSET+2eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"12";"<ALL>";"89";"h=1,3+P1+P2*ln(d)";"global";-9,9747176;9,114636;0,809;2,594;63;"Wijnendalebos";"1eSET+2eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"13";"71001";"17";"h=1,3+P1+P2*ln(d)";"adjusted global";0,13544603;7,57126;NA;NA;1;"Wijnendalebos";"1eSET+2eSET+3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"14";"71001";"28";"h=1,3+P1+P2*ln(d)";"adjusted global";-7,3811266;7,57126;NA;NA;9;"Wijnendalebos";"1eSET+2eSET+3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"15";"71001";"32";"h=1,3+P1+P2*ln(d)";"adjusted global";-2,541135;7,57126;NA;NA;4;"Wijnendalebos";"1eSET+2eSET+3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"16";"71001";"69";"h=1,3+P1+P2*ln(d)";"adjusted global";-9,0329917;7,57126;NA;NA;1;"Wijnendalebos";"1eSET+2eSET+3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"17";NA;"12";"h=1,3+P1+P2*ln(d)";NA;-5,481336;7,57126;NA;NA;0;"Wijnendalebos";"1eSET+2eSET+3eSET";"globale hoogtecurve van geclusterde soorten"
"18";NA;"23";"h=1,3+P1+P2*ln(d)";NA;-5,481336;7,57126;NA;NA;0;"Wijnendalebos";"1eSET+2eSET+3eSET";"globale hoogtecurve van geclusterde soorten"
