"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"Brondata";"Verklaring"
"<ALL>";"<ALL>";"h=1,3+P1+P2*ln(d)";"global";-7,1287948;6,9370553;0,94;1,9;285;"Sevendonck Q";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
"<ALL>";"26";"h=1,3+P1+P2*ln(d)";"global";-67,642238;22,723214;0,881;1,55;11;"Sevendonck Q";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"39";"h=1,3+P1+P2*ln(d)";"global";0,83842444;3,0237281;0,43;1,208;31;"Sevendonck Q";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"57";"h=1,3+P1+P2*ln(d)";"global";-12,120799;8,9094475;0,922;1,005;16;"Sevendonck Q";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"86";"h=1,3+P1+P2*ln(d)";"global";-4,1948517;5,3940204;0,786;1,788;84;"Sevendonck Q";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"87";"h=1,3+P1+P2*ln(d)";"global";-6,9418366;6,9528543;0,884;1,862;123;"Sevendonck Q";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"89";"h=1,3+P1+P2*ln(d)";"global";-13,189272;10,532143;0,643;1,572;5;"Sevendonck Q";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"141201";"24";"h=1,3+P1+P2*ln(d)";"adjusted global";-7,4911352;6,9370553;NA;NA;2;"Sevendonck Q";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"141201";"6";"h=1,3+P1+P2*ln(d)";"adjusted global";-4,8095198;6,9370553;NA;NA;1;"Sevendonck Q";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"141201";"63";"h=1,3+P1+P2*ln(d)";"adjusted global";-9,0075072;6,9370553;NA;NA;11;"Sevendonck Q";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"141201";"77";"h=1,3+P1+P2*ln(d)";"adjusted global";-10,777494;6,9370553;NA;NA;1;"Sevendonck Q";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
