"...1";"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"info";"Brondata";"Verklaring"
"1";"<ALL>";"<ALL>";"h=1,3+P1+P2*ln(d)";"global";-8,3260361;7,3706266;0,905;2,27;248;"Coolhem A";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten"
"2";"<ALL>";"14";"h=1,3+exp(P1+P2/d)";"global";3,2984394;-12,587495;0,871;2,127;6;"Coolhem A";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"3";"<ALL>";"24";"h=1,3+P1+P2*ln(d)";"global";-6,1503715;6,9699399;0,942;1,801;37;"Coolhem A";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"4";"<ALL>";"77";"h=1,3+P1+P2*ln(d)";"global";-6,3191251;5,7892005;0,632;2,285;8;"Coolhem A";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"5";"<ALL>";"78";"h=1,3+P1+P2*ln(d)";"global";-6,8534036;6,6995536;0,499;2,614;12;"Coolhem A";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"6";"<ALL>";"87";"h=1,3+P1+P2*ln(d)";"global";-13,692092;8,9540201;0,85;2,15;35;"Coolhem A";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"7";"<ALL>";"89";"h=1,3+exp(P1+P2/d)";"global";3,1621642;-10,489891;0,874;2,23;143;"Coolhem A";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"8";"171101";"51";"h=1,3+P1+P2*ln(d)";"adjusted global";-3,90506;7,3706266;NA;NA;1;"Coolhem A";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"9";"171101";"63";"h=1,3+P1+P2*ln(d)";"adjusted global";-7,6941075;7,3706266;NA;NA;3;"Coolhem A";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"10";"171101";"67";"h=1,3+P1+P2*ln(d)";"adjusted global";-6,9668977;7,3706266;NA;NA;2;"Coolhem A";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"11";"171101";"69";"h=1,3+P1+P2*ln(d)";"adjusted global";-11,50639;7,3706266;NA;NA;1;"Coolhem A";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
