"...1";"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"info";"Brondata";"Verklaring"
"1";"<ALL>";"<ALL>";"h=1,3+exp(P1+P2/d)";"global";3,6407803;-14,033861;0,873;3,939;496;"Jansheideberg";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten"
"2";"<ALL>";"14";"h=1,3+exp(P1+P2/d)";"global";3,635637;-12,650512;0,635;3,415;44;"Jansheideberg";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"3";"<ALL>";"16";"h=1,3+exp(P1+P2/d)";"global";3,4918353;-11,594051;0,95;2,441;80;"Jansheideberg";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"4";"<ALL>";"17";"h=1,3+exp(P1+P2/d)";"global";3,5235509;-9,5600095;0,249;2,821;46;"Jansheideberg";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"5";"<ALL>";"27";"h=1,3+exp(P1+P2/d)";"global";3,4270309;-12,016255;0,882;2,514;42;"Jansheideberg";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"6";"<ALL>";"39";"h=1,3+exp(P1+P2/d)";"global";2,9442051;-7,3400049;0,721;1,672;23;"Jansheideberg";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"7";"<ALL>";"64";"h=1,3+exp(P1+P2/d)";"global";3,5226372;-15,356157;0,883;3,09;46;"Jansheideberg";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"8";"<ALL>";"7";"h=1,3+exp(P1+P2/d)";"global";3,7731357;-12,31953;0,835;3,205;100;"Jansheideberg";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"9";"<ALL>";"80";"h=1,3+exp(P1+P2/d)";"global";3,5771392;-12,976568;0,925;2,576;18;"Jansheideberg";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"10";"<ALL>";"87";"h=1,3+exp(P1+P2/d)";"global";3,5284156;-12,166297;0,732;1,997;59;"Jansheideberg";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"11";"<ALL>";"91";"h=1,3+exp(P1+P2/d)";"global";3,4588832;-9,4745009;0,718;2,168;28;"Jansheideberg";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"12";"839";"28";"h=1,3+exp(P1+P2/d)";"adjusted global";3,1163552;-14,033861;NA;NA;1;"Jansheideberg";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"13";"839";"40";"h=1,3+exp(P1+P2/d)";"adjusted global";3,5333244;-14,033861;NA;NA;2;"Jansheideberg";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"14";"839";"54";"h=1,3+exp(P1+P2/d)";"adjusted global";3,6407803;-14,033861;NA;NA;0;"Jansheideberg";"geen metingen";"1e2e3eSET";"globale hoogtecurve van geclusterde soorten"
"15";"839";"81";"h=1,3+exp(P1+P2/d)";"adjusted global";3,4617363;-14,033861;NA;NA;3;"Jansheideberg";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"16";"839";"83";"h=1,3+exp(P1+P2/d)";"adjusted global";3,4792697;-14,033861;NA;NA;1;"Jansheideberg";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"17";"839";"86";"h=1,3+exp(P1+P2/d)";"adjusted global";3,5835449;-14,033861;NA;NA;3;"Jansheideberg";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
