"...1";"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"info";"Brondata";"Verklaring"
"1";"<ALL>";"<ALL>";"h=1,3+exp(P1+P2/d)";"global";3,4356161;-10,035528;0,953;2,225;608;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"globale hoogtecurve van geclusterde soorten"
"2";"<ALL>";"16";"h=1,3+exp(P1+P2/d)";"global";3,4169204;-9,3930007;0,936;2,08;318;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"3";"<ALL>";"28";"h=1,3+exp(P1+P2/d)";"global";2,9163327;-6,1429487;0,698;1,652;93;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"4";"<ALL>";"39";"h=1,3+exp(P1+P2/d)";"global";3,5113363;-14,222692;0,885;2,355;8;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"5";"<ALL>";"64";"h=1,3+exp(P1+P2/d)";"global";3,6695086;-20,669573;0,921;1,644;6;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"6";"<ALL>";"7";"h=1,3+exp(P1+P2/d)";"global";3,29566;-8,4295351;0,937;2,125;14;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"7";"<ALL>";"87";"h=1,3+exp(P1+P2/d)";"global";3,464555;-11,524106;0,937;2,19;155;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"8";"81001";"14";"h=1,3+exp(P1+P2/d)";"adjusted global";3,4458402;-10,035528;NA;NA;4;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"9";"81001";"24";"h=1,3+exp(P1+P2/d)";"adjusted global";3,661156;-10,035528;NA;NA;2;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"10";"81001";"27";"h=1,3+exp(P1+P2/d)";"adjusted global";3,310107;-10,035528;NA;NA;3;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"11";"81001";"31";"h=1,3+exp(P1+P2/d)";"adjusted global";3,4356161;-10,035528;NA;NA;0;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"globale hoogtecurve van geclusterde soorten"
"12";"81001";"4";"h=1,3+exp(P1+P2/d)";"adjusted global";3,4356161;-10,035528;NA;NA;0;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"globale hoogtecurve van geclusterde soorten"
"13";"81001";"57";"h=1,3+exp(P1+P2/d)";"adjusted global";3,4046709;-10,035528;NA;NA;1;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"14";"81001";"83";"h=1,3+exp(P1+P2/d)";"adjusted global";2,8882387;-10,035528;NA;NA;1;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"15";"81001";"89";"h=1,3+exp(P1+P2/d)";"adjusted global";3,169956;-10,035528;NA;NA;3;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"16";NA;"48";"h=1,3+exp(P1+P2/d)";"global";3,4356161;-10,035528;NA;NA;0;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"globale hoogtecurve van geclusterde soorten"
