"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"Brondata";"Verklaring"
"<ALL>";NA;"h=1,3+P1+P2*ln(d)";"all_species";-11,791261;9,6441028;0,947;2,418;386;"Liedekerke";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
"<ALL>";13;"h=1,3+P1+P2*ln(d)";"global";-3,3887842;5,3848119;0,532;3,511;8;"Liedekerke";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";24;"h=1,3+P1+P2*ln(d)";"global";-21,737585;13,015788;0,777;2,653;12;"Liedekerke";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";28;"h=1,3+P1+P2*ln(d)";"global";1,4401032;2,0805679;0,447;0,963;13;"Liedekerke";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";3;"h=1,3+P1+P2*ln(d)";"global";-7,9674736;8,4989353;0,946;2,187;78;"Liedekerke";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";39;"h=1,3+P1+P2*ln(d)";"global";-7,2432318;7,05677;0,872;1,918;16;"Liedekerke";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";4;"h=1,3+P1+P2*ln(d)";"all_species";-11,791261;9,6441028;0,947;2,418;386;"Liedekerke";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
"<ALL>";57;"h=1,3+P1+P2*ln(d)";"global";0,10758872;6,5717669;0,776;1,747;36;"Liedekerke";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";63;"h=1,3+P1+P2*ln(d)";"global";-2,4828067;4,1534927;0,819;0,543;7;"Liedekerke";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";64;"h=1,3+P1+P2*ln(d)";"global";-9,1596547;8,8002862;0,865;2,368;40;"Liedekerke";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";80;"h=1,3+P1+P2*ln(d)";"global";-16,749691;11,293798;0,986;1,467;6;"Liedekerke";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";86;"h=1,3+P1+P2*ln(d)";"global";-8,9306027;9,2560904;0,92;2,193;50;"Liedekerke";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";87;"h=1,3+P1+P2*ln(d)";"global";-12,863367;9,8065562;0,952;2,063;86;"Liedekerke";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";89;"h=1,3+P1+P2*ln(d)";"global";-6,5782418;7,7129451;0,739;2,517;7;"Liedekerke";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";41;"h=1,3+P1+P2*ln(d)";"global";-3,3887842;5,3848119;0,532;3,511;8;"Liedekerke";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";6;"h=1,3+P1+P2*ln(d)";"all_species";-11,791261;9,6441028;0,947;2,418;386;"Liedekerke";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
"1098";31;"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-13,397979;9,6441028;NA;NA;2;"Liedekerke";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"1098";77;"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-14,82823;9,6441028;NA;NA;3;"Liedekerke";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"<ALL>";83;"h=1,3+P1+P2*ln(d)";"all_species";-11,791261;9,6441028;0,947;2,418;386;"Liedekerke";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
"1098";69;"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-15,225798;9,6441028;NA;NA;2;"Liedekerke";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"<ALL>";14;"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-8,8387235;9,6441028;NA;NA;2;"Liedekerke";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"<ALL>";46;"h=1,3+P1+P2*ln(d)";"all_species";-11,791261;9,6441028;0,947;2,418;386;"Liedekerke";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
"<ALL>";100;"h=1,3+P1+P2*ln(d)";"all_species";-11,791261;9,6441028;0,947;2,418;386;"Liedekerke";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
"<ALL>";9;"h=1,3+P1+P2*ln(d)";"all_species";-11,791261;9,6441028;0,947;2,418;386;"Liedekerke";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
"<ALL>";16;"h=1,3+P1+P2*ln(d)";"all_species";-11,791261;9,6441028;0,947;2,418;386;"Liedekerke";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
