"...1";"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"Brondata";"Verklaring"
"1";"<ALL>";"<ALL>";"h=1,3+exp(P1+P2/d)";"global";3,3875475;-10,480249;0,855;3,347;213;"Heirnisse";"1e2e3eSET";"globale hoogtecurve van geclusterde soorten"
"2";"<ALL>";"14";"h=1,3+exp(P1+P2/d)";"global";3,0045077;-4,8802665;0,565;2,157;15;"Heirnisse";"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"3";"<ALL>";"16";"h=1,3+exp(P1+P2/d)";"global";2,9509187;-5,5725733;0,879;1,548;20;"Heirnisse";"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"4";"<ALL>";"51";"h=1,3+exp(P1+P2/d)";"global";3,6200723;-13,664989;0,378;3,012;22;"Heirnisse";"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"5";"<ALL>";"57";"h=1,3+exp(P1+P2/d)";"global";2,8798709;-1,0064896;0,348;0,57;12;"Heirnisse";"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"6";"<ALL>";"78";"h=1,3+exp(P1+P2/d)";"global";3,2518971;-6,1736645;0,952;1,214;17;"Heirnisse";"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"7";"<ALL>";"83";"h=1,3+exp(P1+P2/d)";"global";3,0153388;-5,4049897;0,644;2,754;46;"Heirnisse";"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"8";"<ALL>";"86";"h=1,3+exp(P1+P2/d)";"global";2,9926596;-5,2882123;0,866;1,76;29;"Heirnisse";"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"9";"<ALL>";"87";"h=1,3+exp(P1+P2/d)";"global";3,1410336;-8,3647915;0,963;1,413;18;"Heirnisse";"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"10";"<ALL>";"89";"h=1,3+exp(P1+P2/d)";"global";3,0766366;-7,0664116;0,825;2,282;24;"Heirnisse";"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"11";"91001";"14";"h=1,3+exp(P1+P2/d)";"local";3,0045077;-4,8802665;0,565;2,157;15;"Heirnisse";"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"12";"91001";"16";"h=1,3+exp(P1+P2/d)";"local";2,9509187;-5,5725733;0,879;1,548;20;"Heirnisse";"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"13";"91001";"24";"h=1,3+exp(P1+P2/d)";"adjusted global";3,1425146;-10,480249;NA;NA;2;"Heirnisse";"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"14";"799";"28";"h=1,3+exp(P1+P2/d)";"global";2,5761384;-3,2896854;0,638;0,982;8;"Heirnisse";"1e2e3eSET CP's";"eigen curve obv CP's: voldoende bomen voor de soort beschikbaar"
"15";"91001";"3";"h=1,3+exp(P1+P2/d)";"adjusted global";3,1177719;-10,480249;NA;NA;2;"Heirnisse";"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"16";"91001";"4";"h=1,3+exp(P1+P2/d)";"adjusted global";3,0111809;-10,480249;NA;NA;1;"Heirnisse";"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"17";"91001";"54";"h=1,3+exp(P1+P2/d)";"adjusted global";3,3875475;-10,480249;NA;NA;0;"Heirnisse";"1e2e3eSET";"globale hoogtecurve van geclusterde soorten"
"18";"91001";"63";"h=1,3+P1+P2*ln(d)";"adjusted global";-8,3015207;8,5065476;NA;NA;1;"Heirnisse";"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"19";"91001";"69";"h=1,3+exp(P1+P2/d)";"adjusted global";3,1817927;-10,480249;NA;NA;1;"Heirnisse";"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"20";"91001";"77";"h=1,3+exp(P1+P2/d)";"adjusted global";3,1160729;-10,480249;NA;NA;1;"Heirnisse";"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
