"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"Brondata";"Verklaring"
"<ALL>";"<ALL>";"h=1,3+P1+P2*ln(d)";"all_species";-8,4676166;8,6232596;0,947;2,161;463;"Everzwijnbad";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
"<ALL>";"16";"h=1,3+P1+P2*ln(d)";"global";-9,0979684;9,1211524;0,923;2,089;245;"Everzwijnbad";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"87";"h=1,3+P1+P2*ln(d)";"global";-7,7187405;8,2567969;0,95;2,062;102;"Everzwijnbad";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"28";"h=1,3+P1+P2*ln(d)";"global";-5,3557679;6,6969133;0,7;1,663;91;"Everzwijnbad";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"39";"h=1,3+P1+P2*ln(d)";"global";-15,995009;10,76327;0,853;2,581;7;"Everzwijnbad";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"64";"h=1,3+P1+P2*ln(d)";"global";-8,0743682;8,3433435;0,985;0,418;4;"Everzwijnbad";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"7";"h=1,3+P1+P2*ln(d)";"global";-9,9177989;8,1467287;0,998;0,468;4;"Everzwijnbad";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"81001";"89";"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-11,173308;8,6232596;NA;NA;3;"Everzwijnbad";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"81001";"14";"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-6,1042532;8,6232596;NA;NA;2;"Everzwijnbad";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"81001";"27";"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-8,3744681;8,6232596;NA;NA;2;"Everzwijnbad";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"81001";"24";"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-6,4249112;8,6232596;NA;NA;1;"Everzwijnbad";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"81001";"57";"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-8,0572764;8,6232596;NA;NA;1;"Everzwijnbad";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"81001";"83";"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-14,15222;8,6232596;NA;NA;1;"Everzwijnbad";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"81001";"31";"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-8,4676166;8,6232596;NA;NA;0;"Everzwijnbad";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"81001";"4";"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-8,4676166;8,6232596;NA;NA;0;"Everzwijnbad";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"<ALL>";"48";"h=1,3+P1+P2*ln(d)";"all_species";-8,4676166;8,6232596;NA;NA;0;"Everzwijnbad";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
