"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"Brondata";"Verklaring"
"<ALL>";"<ALL>";"h=1,3+exp(P1+P2/d)";"all_species";3,2240955;-11,219767;0,902;2,372;198;"Coolhem A";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
"<ALL>";"14";"h=1,3+exp(P1+P2/d)";"global";3,2984394;-12,587495;0,871;2,127;6;"Coolhem A";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"24";"h=1,3+exp(P1+P2/d)";"global";3,1894684;-8,6988617;0,923;2,08;20;"Coolhem A";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"77";"h=1,3+exp(P1+P2/d)";"global";2,8233324;-8,7085487;0,629;2,293;8;"Coolhem A";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"78";"h=1,3+exp(P1+P2/d)";"global";3,3367263;-17,451876;0,502;2,561;11;"Coolhem A";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"87";"h=1,3+exp(P1+P2/d)";"global";3,3295519;-14,481635;0,85;2,097;26;"Coolhem A";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"89";"h=1,3+exp(P1+P2/d)";"global";3,1743963;-10,594203;0,869;2,338;121;"Coolhem A";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"171101";"51";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,4914267;-11,219767;NA;NA;1;"Coolhem A";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"171101";"63";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,7756997;-11,219767;NA;NA;2;"Coolhem A";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"171101";"67";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,6944885;-11,219767;NA;NA;2;"Coolhem A";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"171101";"69";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";2,4005895;-11,219767;NA;NA;1;"Coolhem A";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"<ALL>";"<ALL>";"h=1,3+exp(P1+P2/d)";"all_species";3,1340561;-7,7307196;0,905;2,119;264;"Coolhem Q";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
"<ALL>";"39";"h=1,3+exp(P1+P2/d)";"global";2,6445965;-3,5313692;0,608;1,275;31;"Coolhem Q";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"51";"h=1,3+exp(P1+P2/d)";"global";3,4291006;-14,974468;0,223;2,26;11;"Coolhem Q";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"57";"h=1,3+exp(P1+P2/d)";"adjusted global";3,1796596;-7,7307196;NA;NA;4;"Coolhem Q";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"<ALL>";"77";"h=1,3+exp(P1+P2/d)";"global";2,985817;-8,9767685;0,378;2,542;7;"Coolhem Q";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"86";"h=1,3+exp(P1+P2/d)";"global";3,0741654;-6,1377069;0,837;1,491;57;"Coolhem Q";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"87";"h=1,3+exp(P1+P2/d)";"global";3,2174622;-10,987301;0,852;1,789;96;"Coolhem Q";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"89";"h=1,3+exp(P1+P2/d)";"global";2,9875134;-6,729556;0,764;1,932;47;"Coolhem Q";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"171201";"13";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";2,8030077;-7,7307196;NA;NA;2;"Coolhem Q";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"171201";"4";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,2764516;-7,7307196;NA;NA;2;"Coolhem Q";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"171201";"41";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";2,6138662;-7,7307196;NA;NA;1;"Coolhem Q";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"171201";"63";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";2,6650678;-7,7307196;NA;NA;3;"Coolhem Q";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"171201";"64";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,2866101;-7,7307196;NA;NA;1;"Coolhem Q";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"171201";"7";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";2,7977789;-7,7307196;NA;NA;2;"Coolhem Q";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
