"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"info";"Brondata";"Verklaring"
"121001";"14";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,4765382;-11,031042;NA;NA;11;"Pruikemakers";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"121001";"86";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,618999;-11,031042;NA;NA;6;"Pruikemakers";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"121001";"24";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,6777628;-11,031042;NA;NA;2;"Pruikemakers";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"121001";"7";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,3882501;-11,031042;NA;NA;2;"Pruikemakers";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"121001";"9";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,5010792;-11,031042;NA;NA;2;"Pruikemakers";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"<ALL>";"<ALL>";"h=1,3+exp(P1+P2/d)";"all_species";3,5403628;-11,031042;0,96;2,34;740;"Pruikemakers";NA;"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
"<ALL>";"16";"h=1,3+exp(P1+P2/d)";"global";3,5375436;-10,418881;0,952;2,181;426;"Pruikemakers";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"87";"h=1,3+exp(P1+P2/d)";"global";3,5262807;-11,374559;0,94;1,931;150;"Pruikemakers";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"28";"h=1,3+exp(P1+P2/d)";"global";2,5074465;-4,7926113;0,462;1,701;90;"Pruikemakers";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"81";"h=1,3+exp(P1+P2/d)";"global";3,7064519;-15,83995;0,941;2,599;42;"Pruikemakers";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"89";"h=1,3+exp(P1+P2/d)";"global";3,4663723;-10,542079;0,545;3,225;5;"Pruikemakers";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"57";"h=1,3+exp(P1+P2/d)";"global";3,6376107;-11,918245;0,684;2,55;4;"Pruikemakers";NA;"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
