"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"Brondata";"Verklaring"
"2190";"24";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,7423898;-14,014116;NA;NA;0;"Zoniën HARRAS_1995";"3eSET CP's ZonienHarras+Zonien2010";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"2190";"39";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,7423898;-14,014116;NA;NA;0;"Zoniën HARRAS_1995";"3eSET CP's ZonienHarras+Zonien2010";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"2190";"58";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,7423898;-14,014116;NA;NA;0;"Zoniën HARRAS_1995";"3eSET CP's ZonienHarras+Zonien2010";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"2190";"18";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,7576955;-14,014116;NA;NA;1;"Zoniën HARRAS_1995";"3eSET CP's ZonienHarras+Zonien2010";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"2190";"50";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,267477;-14,014116;NA;NA;1;"Zoniën HARRAS_1995";"3eSET CP's ZonienHarras+Zonien2010";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"2190";"77";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,4750263;-14,014116;NA;NA;1;"Zoniën HARRAS_1995";"3eSET CP's ZonienHarras+Zonien2010";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"2190";"113";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,6672502;-14,014116;NA;NA;2;"Zoniën HARRAS_1995";"3eSET CP's ZonienHarras+Zonien2010";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"2190";"4";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,229892;-14,014116;NA;NA;2;"Zoniën HARRAS_1995";"3eSET CP's ZonienHarras+Zonien2010";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"<ALL>";"9";"h=1,3+exp(P1+P2/d)";"global";3,5680546;-15,490498;0,998;0,339;4;"Zoniën HARRAS_1995";"3eSET CP's ZonienHarras+Zonien2010";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"83";"h=1,3+exp(P1+P2/d)";"global";3,387707;-10,929893;0,943;1,96;8;"Zoniën HARRAS_1995";"3eSET CP's ZonienHarras+Zonien2010";"eigen curve: voldoende bomen voor de soort beschikbaar"
