"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"Brondata";"Verklaring"
"<ALL>";"<ALL>";"h=1,3+P1+P2*ln(d)";"global";-6,5860086;7,1475383;0,901;2,07;363;"Sevendonck A";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
"<ALL>";"14";"h=1,3+P1+P2*ln(d)";"global";-2,0813961;5,7151535;0,794;1,289;29;"Sevendonck A";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"39";"h=1,3+P1+P2*ln(d)";"global";0,73055388;2,9529339;0,274;1,701;8;"Sevendonck A";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"77";"h=1,3+P1+P2*ln(d)";"global";-0,96392282;4,2999674;0,712;0,94;11;"Sevendonck A";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"86";"h=1,3+P1+P2*ln(d)";"global";-10,531293;8,75234;0,902;1,818;61;"Sevendonck A";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"87";"h=1,3+P1+P2*ln(d)";"global";-11,472627;8,7174291;0,914;2,161;20;"Sevendonck A";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"89";"h=1,3+P1+P2*ln(d)";"global";-11,994268;8,7631004;0,831;2,006;229;"Sevendonck A";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"141101";"28";"h=1,3+P1+P2*ln(d)";"adjusted global";-8,8035191;7,1475383;NA;NA;1;"Sevendonck A";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"141101";"71";"h=1,3+P1+P2*ln(d)";"adjusted global";-8,7034929;7,1475383;NA;NA;3;"Sevendonck A";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"141101";"78";"h=1,3+P1+P2*ln(d)";"adjusted global";-3,8190774;7,1475383;NA;NA;1;"Sevendonck A";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
NA;"24";"h=1,3+P1+P2*ln(d)";"all_species";-6,5860086;7,1475383;0,901;2,07;363;"Sevendonck A";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
