"...1";"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"Brondata";"Verklaring"
"1";"<ALL>";"<ALL>";"h=1,3+exp(P1+P2/d)";"global";3,6878623;-13,921917;0,897;3,889;571;"Jansheideberg";"1e2e3eSET";"globale hoogtecurve van geclusterde soorten"
"2";"<ALL>";"16";"h=1,3+exp(P1+P2/d)";"global";3,3129136;-9,1899253;0,896;2,206;137;"Jansheideberg";"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"3";"<ALL>";"17";"h=1,3+exp(P1+P2/d)";"global";3,5901147;-16,67189;0,658;1,336;18;"Jansheideberg";"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"4";"<ALL>";"27";"h=1,3+exp(P1+P2/d)";"global";2,8996161;-5,111537;0,966;0,246;4;"Jansheideberg";"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"5";"<ALL>";"39";"h=1,3+exp(P1+P2/d)";"global";3,2549338;-12,16456;0,708;1,465;13;"Jansheideberg";"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"6";"<ALL>";"64";"h=1,3+exp(P1+P2/d)";"global";3,7490203;-19,215691;0,941;1,872;16;"Jansheideberg";"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"7";"<ALL>";"7";"h=1,3+exp(P1+P2/d)";"global";3,7704116;-12,450889;0,888;2,332;226;"Jansheideberg";"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"8";"<ALL>";"87";"h=1,3+exp(P1+P2/d)";"global";3,4703086;-11,795975;0,816;1,472;153;"Jansheideberg";"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"9";"101001";"28";"h=1,3+exp(P1+P2/d)";"adjusted global";3,6878623;-13,921917;NA;NA;0;"Jansheideberg";"1e2e3eSET";"globale hoogtecurve van geclusterde soorten"
"10";"101001";"31";"h=1,3+exp(P1+P2/d)";"adjusted global";3,2646448;-13,921917;NA;NA;2;"Jansheideberg";"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"11";"101001";"69";"h=1,3+P1+P2*ln(d)";"adjusted global";-16,54292;11,971325;NA;NA;2;"Jansheideberg";"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
