"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"Brondata";"Verklaring"
"<ALL>";"<ALL>";"h=1,3+exp(P1+P2/d)";"all_species";3,5483222;-10,498361;0,941;2,504;691;"Harras";"1eSET + 2eSET KV";"globale hoogtecurve van geclusterde soorten"
"<ALL>";"14";"h=1,3+exp(P1+P2/d)";"global";3,3336909;-5,879222;0,603;1,419;5;"Harras";"1eSET + 2eSET KV";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"16";"h=1,3+exp(P1+P2/d)";"global";3,5033158;-8,7892034;0,952;2,004;263;"Harras";"1eSET + 2eSET KV";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"27";"h=1,3+exp(P1+P2/d)";"global";3,4217514;-9,5211812;0,867;2,474;219;"Harras";"1eSET + 2eSET KV";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"44";"h=1,3+exp(P1+P2/d)";"global";3,3098151;-7,5833574;0,965;1,43;13;"Harras";"1eSET + 2eSET KV";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"7";"h=1,3+exp(P1+P2/d)";"global";3,571807;-10,851567;0,962;2,21;85;"Harras";"1eSET + 2eSET KV";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"87";"h=1,3+exp(P1+P2/d)";"global";3,6518577;-15,390851;0,912;2,208;97;"Harras";"1eSET + 2eSET KV";"eigen curve: voldoende bomen voor de soort beschikbaar"
"21001";"39";"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,4814426;-10,498361;NA;NA;3;"Harras";"1eSET + 2eSET KV";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"<ALL>";"57";"h=1,3+exp(P1+P2/d)";"global";3,3270289;-4,8144403;0,459;1,294;6;"Harras";"1eSET + 2eSET KV";"eigen curve: voldoende bomen voor de soort beschikbaar (cluster Berk&rBe)"
"<ALL>";"6";"h=1,3+exp(P1+P2/d)";"global";3,3270289;-4,8144403;0,459;1,294;6;"Harras";"1eSET + 2eSET KV";"eigen curve: voldoende bomen voor de soort beschikbaar (cluster Berk&rBe)"
