"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"Brondata";"Verklaring"
"<ALL>";NA;"h=1,3+exp(P1+P2/d)";"global";3,1652793;-9,8967292;0,892;2,069;88;"Withoefse heide";"Transect 1eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";26;"h=1,3+exp(P1+P2/d)";"global";3,2037377;-11,513154;0,879;2,325;49;"Withoefse heide";"Transect 1eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";57;"h=1,3+exp(P1+P2/d)";"global";3,2218517;-9,5577524;0,934;1,412;32;"Withoefse heide";"Transect 1eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";87;"h=1,3+exp(P1+P2/d)";"global";3,1361735;-9,5348611;0,969;0,835;6;"Withoefse heide";"Transect 1eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"221";3;"h=1,3+exp(P1+P2/d)";"all_species";3,1652793;-9,8967292;NA;NA;0;"Withoefse heide";"Transect 1eSET";"globale hoogtecurve van geclusterde soorten"
"220";48;"h=1,3+exp(P1+P2/d)";"all_species";3,1652793;-9,8967292;NA;NA;0;"Withoefse heide";"Transect 1eSET";"globale hoogtecurve van geclusterde soorten"
"207";39;"h=1,3+exp(P1+P2/d)";"all_species";3,1652793;-9,8967292;NA;NA;0;"Withoefse heide";"Transect 1eSET";"globale hoogtecurve van geclusterde soorten"
"204";6;"h=1,3+exp(P1+P2/d)";"global";3,2218517;-9,5577524;0,934;1,412;32;"Withoefse heide";"Transect 1eSET";"eigen curve: voldoende bomen voor de soort beschikbaar (Ruwe berk)"
"204";63;"h=1,3+exp(P1+P2/d)";"all_species";3,1424967;-9,8967292;NA;NA;0;"Withoefse heide";"Transect 1eSET";"globale hoogtecurve van geclusterde soorten"
"200";86;"h=1,3+exp(P1+P2/d)";"global";3,2218517;-9,5577524;0,934;1,412;32;"Withoefse heide";"Transect 1eSET";"eigen curve: voldoende bomen voor de soort beschikbaar (Ruwe berk)"
"200";101;"h=1,3+exp(P1+P2/d)";"global";3,2037377;-11,513154;0,879;2,325;49;"Withoefse heide";"Transect 1eSET";"eigen curve: voldoende bomen voor de soort beschikbaar (Grove den)"
