"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"Brondata";"Verklaring"
"<ALL>";"<ALL>";"h=1,3+P1+P2*ln(d)";"all_species";-3,6150059;5,4127124;0,773;2,52;145;"Hannecart";"2eSET+3eSET";"globale hoogtecurve van geclusterde soorten"
"<ALL>";"16";"h=1,3+P1+P2*ln(d)";"global";-1,5685643;5,0567461;0,793;2,305;76;"Hannecart";"2eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"83";"h=1,3+P1+P2*ln(d)";"global";-5,0261265;5,6122678;0,812;1,759;47;"Hannecart";"2eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"89";"h=1,3+P1+P2*ln(d)";"global";0,84104198;3,1010255;0,672;1,527;13;"Hannecart";"2eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"31001";"39";"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-7,9466299;5,4127124;NA;NA;2;"Hannecart";"2eSET+3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"31001";"41";"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-4,3240462;5,4127124;NA;NA;2;"Hannecart";"2eSET+3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"31001";"51";"h=1,3+P1+P2*ln(d)";"adjusted_all_species";2,3385877;5,4127124;NA;NA;2;"Hannecart";"2eSET+3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"31001";"69";"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-6,832652;5,4127124;NA;NA;1;"Hannecart";"2eSET+3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"31001";"77";"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-3,5957826;5,4127124;NA;NA;2;"Hannecart";"2eSET+3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
