"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"Brondata";"Verklaring"
41001;3;"h=1,3+exp(P1+P2/d)";"local";3,3407377;-11,696396;0,963;1,895;10;"Rodebos KV1";"1eSET+2eSET+3eSET - KV1";"eigen curve: voldoende bomen voor de soort beschikbaar in eigen KV"
41001;6;"h=1,3+exp(P1+P2/d)";"all_species";3,5333954;-12,007063;NA;NA;0;"Rodebos KV1";"1eSET+2eSET+3eSET - KV1+KV2";"globale hoogtecurve van alle soorten samen"
41001;7;"h=1,3+exp(P1+P2/d)";"local";3,5833306;-13,267202;0,911;2,74;115;"Rodebos KV1";"1eSET+2eSET+3eSET - KV1";"eigen curve: voldoende bomen voor de soort beschikbaar in eigen KV"
41001;9;"h=1,3+exp(P1+P2/d)";"adjusted_all_species";2,8988677;-12,007063;NA;NA;1;"Rodebos KV1";"1eSET+2eSET+3eSET - KV1+KV2";"globale hoogtecurve van alle soorten samen, intercept aangepast aan soort en KV"
41001;14;"h=1,3+exp(P1+P2/d)";"local";3,4193419;-8,0915475;0,826;2,633;61;"Rodebos KV1";"1eSET+2eSET+3eSET - KV1";"eigen curve: voldoende bomen voor de soort beschikbaar in eigen KV"
41001;16;"h=1,3+exp(P1+P2/d)";"local";3,3736706;-7,6313004;0,938;2,359;8;"Rodebos KV1";"1eSET+2eSET+3eSET - KV1";"eigen curve: voldoende bomen voor de soort beschikbaar in eigen KV"
41001;23;"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,5030492;-12,007063;NA;NA;1;"Rodebos KV1";"1eSET+2eSET+3eSET - KV1+KV2";"globale hoogtecurve van alle soorten samen, intercept aangepast aan soort en KV"
41001;27;"h=1,3+exp(P1+P2/d)";"local";3,5354569;-11,998248;0,856;3,217;27;"Rodebos KV1";"1eSET+2eSET+3eSET - KV1";"eigen curve: voldoende bomen voor de soort beschikbaar in eigen KV"
41001;28;"h=1,3+exp(P1+P2/d)";"local";2,565388;-4,7510948;0,511;1,779;23;"Rodebos KV1";"1eSET+2eSET+3eSET - KV1";"eigen curve: voldoende bomen voor de soort beschikbaar in eigen KV"
41001;31;"h=1,3+exp(P1+P2/d)";"local";2,9672384;-10,208899;0,719;1,008;11;"Rodebos KV1";"1eSET+2eSET+3eSET - KV1";"eigen curve: voldoende bomen voor de soort beschikbaar in eigen KV"
41001;39;"h=1,3+exp(P1+P2/d)";"local";3,299531;-9,8629199;0,84;1,93;19;"Rodebos KV1";"1eSET+2eSET+3eSET - KV1";"eigen curve: voldoende bomen voor de soort beschikbaar in eigen KV"
41001;42;"h=1,3+exp(P1+P2/d)";"all_species";3,5333954;-12,007063;NA;NA;0;"Rodebos KV1";"1eSET+2eSET+3eSET - KV1+KV2";"globale hoogtecurve van alle soorten samen"
41001;43;"h=1,3+exp(P1+P2/d)";"local";3,6939764;-15,26302;0,627;3,168;17;"Rodebos KV1";"1eSET+2eSET+3eSET - KV1";"eigen curve: voldoende bomen voor de soort beschikbaar in eigen KV"
41001;51;"h=1,3+exp(P1+P2/d)";"adjusted_global";3,8435035;-26,960967;NA;NA;2;"Rodebos KV1";"1eSET+2eSET+3eSET - KV1+KV2";"soort-specifieke curve obv 2 KV's, intercept aangepast aan specifieke KV"
41001;52;"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,7390289;-12,007063;NA;NA;1;"Rodebos KV1";"1eSET+2eSET+3eSET - KV1+KV2";"globale hoogtecurve van alle soorten samen, intercept aangepast aan soort en KV"
41001;57;"h=1,3+exp(P1+P2/d)";"local";3,4360689;-11,465402;0,961;1,708;14;"Rodebos KV1";"1eSET+2eSET+3eSET - KV1";"eigen curve: voldoende bomen voor de soort beschikbaar in eigen KV"
41001;58;"h=1,3+exp(P1+P2/d)";"local";3,4211668;-10,935703;0,948;1,712;13;"Rodebos KV1";"1eSET+2eSET+3eSET - KV1";"eigen curve: voldoende bomen voor de soort beschikbaar in eigen KV"
41001;63;"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,0289994;-12,007063;NA;NA;2;"Rodebos KV1";"1eSET+2eSET+3eSET - KV1+KV2";"globale hoogtecurve van alle soorten samen, intercept aangepast aan soort en KV"
41001;78;"h=1,3+exp(P1+P2/d)";"adjusted_all_species";3,0745843;-12,007063;NA;NA;2;"Rodebos KV1";"1eSET+2eSET+3eSET - KV1+KV2";"globale hoogtecurve van alle soorten samen, intercept aangepast aan soort en KV"
41001;80;"h=1,3+exp(P1+P2/d)";"local";3,5286838;-10,688389;NA;NA;1;"Rodebos KV1";"1eSET+2eSET+3eSET - KV1";"curve zEik&wEik: voldoende bomen voor de soort beschikbaar in eigen KV"
41001;83;"h=1,3+exp(P1+P2/d)";"local";3,4167963;-9,8661703;0,823;2,941;21;"Rodebos KV1";"1eSET+2eSET+3eSET - KV1";"eigen curve: voldoende bomen voor de soort beschikbaar in eigen KV"
41001;86;"h=1,3+exp(P1+P2/d)";"local";3,4244842;-10,345736;0,874;2,651;49;"Rodebos KV1";"1eSET+2eSET+3eSET - KV1";"eigen curve: voldoende bomen voor de soort beschikbaar in eigen KV"
41001;87;"h=1,3+exp(P1+P2/d)";"local";3,5286838;-10,688389;0,7;3,006;107;"Rodebos KV1";"1eSET+2eSET+3eSET - KV1";"eigen curve: voldoende bomen voor de soort beschikbaar in eigen KV"
41001;89;"h=1,3+exp(P1+P2/d)";"local";3,2402436;-7,8713763;0,774;2,796;46;"Rodebos KV1";"1eSET+2eSET+3eSET - KV1";"eigen curve: voldoende bomen voor de soort beschikbaar in eigen KV"
43001;3;"h=1,3+exp(P1+P2/d)";"global";3,3407377;-11,696396;NA;NA;0;"Rodebos KV2";"1eSET+2eSET+3eSET - KV1+KV2";"soort-specifieke curve obv 2 KV's: voldoende bomen voor de soort beschikbaar"
43001;6;"h=1,3+exp(P1+P2/d)";"all_species";3,5333954;-12,007063;NA;NA;0;"Rodebos KV2";"1eSET+2eSET+3eSET - KV1+KV2";"globale hoogtecurve van alle soorten samen"
43001;7;"h=1,3+exp(P1+P2/d)";"local";3,4697549;-10,076869;0,868;2,106;30;"Rodebos KV2";"1eSET+2eSET+3eSET - KV2";"eigen curve: voldoende bomen voor de soort beschikbaar in eigen KV"
