"...1";"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"info";"Brondata";"Verklaring"
"1";"<ALL>";"<ALL>";"h=1,3+P1+P2*ln(d)";"global";-9,3303318;9,6387214;0,926;2,907;901;"Bos Terrijst";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten"
"2";"899";"13";"h=1,3+P1+P2*ln(d)";"adjusted global";-15,279874;9,6387214;NA;NA;3;"Bos Terrijst";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"3";"<ALL>";"14";"h=1,3+P1+P2*ln(d)";"global";-2,3825236;7,90157;0,899;2,363;113;"Bos Terrijst";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"4";"<ALL>";"16";"h=1,3+P1+P2*ln(d)";"global";-11,914036;10,641288;0,945;2,48;89;"Bos Terrijst";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"5";"<ALL>";"24";"h=1,3+exp(P1+P2/d)";"global";3,6518193;-13,452297;0,827;2,328;62;"Bos Terrijst";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"6";"<ALL>";"27";"h=1,3+P1+P2*ln(d)";"global";-20,973195;13,508457;0,759;2,548;14;"Bos Terrijst";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"7";"<ALL>";"28";"h=1,3+P1+P2*ln(d)";"global";-9,9846415;9,0415325;0,79;2;14;"Bos Terrijst";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"8";"<ALL>";"3";"h=1,3+P1+P2*ln(d)";"global";-5,5114515;8,635737;0,943;2,484;49;"Bos Terrijst";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"9";"<ALL>";"39";"h=1,3+P1+P2*ln(d)";"global";-4,1323676;6,4218493;0,986;0,532;4;"Bos Terrijst";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"10";"<ALL>";"51";"h=1,3+P1+P2*ln(d)";"global";0,081668035;7,9944116;0,581;2,394;83;"Bos Terrijst";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"11";"899";"53";"h=1,3+P1+P2*ln(d)";"adjusted global";-12,251323;9,6387214;NA;NA;1;"Bos Terrijst";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"12";"<ALL>";"57";"h=1,3+exp(P1+P2/d)";"global";3,5522985;-10,647068;0,86;2,066;52;"Bos Terrijst";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"13";"<ALL>";"64";"h=1,3+exp(P1+P2/d)";"global";3,4945051;-10,33542;0,82;2,969;117;"Bos Terrijst";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"14";"899";"69";"h=1,3+P1+P2*ln(d)";"adjusted global";-15,555743;9,6387214;NA;NA;4;"Bos Terrijst";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"15";"<ALL>";"7";"h=1,3+exp(P1+P2/d)";"global";3,6144997;-10,461969;0,943;2,577;117;"Bos Terrijst";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"16";"899";"78";"h=1,3+P1+P2*ln(d)";"adjusted global";-14,978435;9,6387214;NA;NA;1;"Bos Terrijst";NA;"1e2e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"17";"899";"86";"h=1,3+P1+P2*ln(d)";"adjusted global";-9,3303318;9,6387214;NA;NA;0;"Bos Terrijst";"geen metingen";"1e2e3eSET";"globale hoogtecurve van geclusterde soorten"
"18";"<ALL>";"87";"h=1,3+P1+P2*ln(d)";"global";-12,156401;10,132674;0,917;2,541;156;"Bos Terrijst";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"19";"<ALL>";"89";"h=1,3+exp(P1+P2/d)";"global";3,602684;-15,43498;0,949;1,879;4;"Bos Terrijst";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"20";"<ALL>";"9";"h=1,3+exp(P1+P2/d)";"global";3,4667158;-7,4101678;0,878;3,03;18;"Bos Terrijst";NA;"1e2e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"21";NA;"6";"h=1,3+P1+P2*ln(d)";"adjusted global";-9,3303318;9,6387214;NA;NA;0;"Bos Terrijst";"geen metingen";"1e2e3eSET";"globale hoogtecurve van geclusterde soorten"
"22";NA;"48";"h=1,3+P1+P2*ln(d)";"adjusted global";-9,3303318;9,6387214;NA;NA;0;"Bos Terrijst";"geen metingen";"1e2e3eSET";"globale hoogtecurve van geclusterde soorten"
"23";NA;"77";"h=1,3+P1+P2*ln(d)";"adjusted global";-9,3303318;9,6387214;NA;NA;0;"Bos Terrijst";"geen metingen";"1e2e3eSET";"globale hoogtecurve van geclusterde soorten"
