"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"Brondata";"Verklaring"
"<ALL>";"<ALL>";"h=1,3+P1+P2*ln(d)";"all_species";-10,601112;9,7344473;0,955;2,595;536;"Bos Terrijst";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
"<ALL>";"16";"h=1,3+P1+P2*ln(d)";"global";-10,26506;10,121507;0,892;2,044;200;"Bos Terrijst";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"64";"h=1,3+P1+P2*ln(d)";"global";-17,233367;11,598676;0,913;2,569;139;"Bos Terrijst";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"87";"h=1,3+P1+P2*ln(d)";"global";-12,831203;10,338035;0,736;2,535;126;"Bos Terrijst";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"69";"h=1,3+P1+P2*ln(d)";"global";-3,2243753;4,2591799;0,787;1,067;21;"Bos Terrijst";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"7";"h=1,3+P1+P2*ln(d)";"global";-10,5486;9,7204728;0,994;1,403;12;"Bos Terrijst";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"14";"h=1,3+P1+P2*ln(d)";"global";-9,370038;9,5823734;0,98;2,001;10;"Bos Terrijst";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"28";"h=1,3+P1+P2*ln(d)";"global";-5,7115055;7,0502162;0,811;1,753;10;"Bos Terrijst";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"<ALL>";"24";"h=1,3+P1+P2*ln(d)";"global";-50,323734;19,129883;0,21;2,164;7;"Bos Terrijst";"1eSET+2eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"111001";"39";"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-11,032361;9,7344473;NA;NA;2;"Bos Terrijst";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"111001";"57";"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-10,214393;9,7344473;NA;NA;1;"Bos Terrijst";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"111001";"81";"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-12,11111;9,7344473;NA;NA;3;"Bos Terrijst";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"111001";"89";"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-11,959843;9,7344473;NA;NA;2;"Bos Terrijst";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"111001";"9";"h=1,3+P1+P2*ln(d)";"adjusted_all_species";-11,127525;9,7344473;NA;NA;3;"Bos Terrijst";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
NA;"48";"h=1,3+P1+P2*ln(d)";"all_species";-10,601112;9,7344473;0,955;2,595;536;"Bos Terrijst";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
NA;"77";"h=1,3+P1+P2*ln(d)";"all_species";-10,601112;9,7344473;0,955;2,595;536;"Bos Terrijst";"1eSET+2eSET";"globale hoogtecurve van geclusterde soorten"
